Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.04,64.54,4.26,1.43,0.46,22.37,3.08,90.33,2.41,1.18,40.2,33.85,6.15,12.96,25.26,27.13,1180,0.43,0.29,0.33
,,,,,,,,,,,,,,,,,,,
5.17,65.09,4.31,1.44,0.26,22.55,1.4,90.22,2.38,1.2,46.96,29.26,6.41,13.12,25.93,27.43,1290,0.33,0.27,0.34
,,,,,,,,,,,,,,,,,,,
4.99,66.02,4.18,1.41,0.26,21.74,2.24,94.89,2.37,1.19,54.88,20.97,6.15,12.72,25.02,26.59,1250,0.37,0.27,0.33
4.9,66.25,4.14,1.42,0.46,20.8,2.8,99.16,2.3,1.18,61.34,13.4,5.98,12.6,24.56,26.44,1290,0.37,0.28,0.32
,,,,,,,,,,,,,,,,,,,
5.16,65.86,4.28,1.47,0.31,21.6,1.96,94.83,2.29,1.21,55.15,20.37,6.43,13.02,25.89,27.42,1300,0.32,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.05,65.67,4.33,1.45,0.37,21.4,1.87,95.46,2.28,1.17,56.93,18.45,6.06,13.18,25.29,27.24,1240,0.38,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.97,65.9,4.31,1.45,0.29,21.91,1.68,93.99,2.36,1.15,55.33,21.12,5.88,13.12,24.87,26.88,1250,0.31,0.27,0.35
,,,,,,,,,,,,,,,,,,,
4.9,65.58,4.29,1.43,0.39,21.86,1.96,93.85,2.38,1.14,53.76,22.16,5.73,13.05,24.51,26.71,1260,0.36,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.89,65.44,4.23,1.5,0.28,21.84,2.24,93.79,2.39,1.16,52.36,23.16,5.8,12.87,24.47,26.51,1220,0.36,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.89,65.28,4.18,1.61,0.43,21.52,2.52,94.83,2.37,1.17,53.07,21.7,5.89,12.72,24.49,26.66,1250,0.35,0.32,0.33
,,,,,,,,,,,,,,,,,,,
5.01,65.04,4.31,1.69,0.34,21.97,2.02,92.48,2.36,1.16,49.72,25.52,5.98,13.12,25.08,27.29,1260,0.32,0.33,0.34
,,,,,,,,,,,,,,,,,,,
4.97,65.3,4.24,1.76,0.46,21.45,2.13,94.94,2.33,1.17,54.65,20.31,6,12.9,24.9,27.21,1280,0.35,0.34,0.34
,,,,,,,,,,,,,,,,,,,
