Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.81,64.65,3.55,1.43,0.24,22.65,1.64,90.54,2.71,1.35,46.94,29.57,6.74,10.8,24.28,24.67,1380,0.3,0.32,0.33
,,,,,,,,,,,,,,,,,,,
4.7,65.17,3.51,1.41,0.55,22.47,1.76,92.12,2.74,1.34,50.73,26.19,6.52,10.68,23.71,24.55,1320,0.34,0.35,0.32
4.68,64.83,3.53,1.38,0.44,22.15,2.41,92.83,2.7,1.33,49.24,26.4,6.43,10.74,23.6,24.39,1210,0.33,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.79,64.45,3.54,1.33,0.61,22.9,1.72,89.42,2.75,1.35,44.05,32.47,6.7,10.77,24.18,24.86,1290,0.41,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.67,65.39,3.48,1.36,0.8,21.98,2.52,94.34,2.7,1.34,52.5,23.45,6.49,10.59,23.56,24.59,1280,0.41,0.38,0.32
,,,,,,,,,,,,,,,,,,,
4.8,65.52,3.69,1.39,0.34,22.22,2.24,93.23,2.62,1.3,51.17,25.14,6.48,11.23,24.18,25.01,1290,0.29,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.73,65.1,3.49,1.38,0.53,22.42,2.1,92.18,2.73,1.36,49.27,27.15,6.63,10.62,23.88,24.54,1280,0.39,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.89,64.57,3.33,1.35,0.61,22.55,1.82,90.85,2.74,1.47,46.42,29.67,7.32,10.13,24.78,24.71,1290,0.46,0.36,0.32
,,,,,,,,,,,,,,,,,,,
4.72,64.92,3.37,1.34,0.65,22,2.91,93.6,2.72,1.4,48.67,26.4,6.81,10.25,23.87,24.33,1220,0.42,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.77,64.59,3.34,1.36,0.5,22.85,1.4,89.98,2.82,1.43,46.72,30.31,6.99,10.16,24.14,24.28,1320,0.31,0.35,0.33
,,,,,,,,,,,,,,,,,,,
4.66,64.23,3.33,1.33,0.51,22.36,1.74,91.4,2.8,1.4,48.35,27.67,6.71,10.13,23.56,23.91,1270,0.31,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.64,64.39,3.2,1.34,0.33,22.72,1.68,90.47,2.9,1.45,46.83,29.85,6.88,9.74,23.5,23.4,1290,0.41,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.83,64.61,3.27,1.37,0.32,22.96,2.46,89.6,2.83,1.48,41.35,34.67,7.27,9.95,24.48,24.13,1220,0.38,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.65,64.83,3.31,1.37,0.39,22.87,2.24,90.45,2.87,1.4,44.97,31.68,6.72,10.07,23.52,23.76,1240,0.36,0.35,0.31
4.67,65.57,3.23,1.37,0.5,22.26,3.08,93.75,2.82,1.45,49.18,26.76,6.91,9.83,23.65,23.75,1210,0.39,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.61,3.28,1.39,0.27,22.2,2.84,93.95,2.78,1.43,50.51,25.59,6.91,9.98,23.79,23.74,1210,0.34,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.67,65.08,3.38,1.4,0.28,22.57,2.79,91.79,2.8,1.38,45.8,30.2,6.66,10.29,23.6,23.89,1220,0.37,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.71,64.59,3.43,1.42,0.24,22.47,1.9,91.35,2.76,1.37,47.85,28.37,6.68,10.44,23.79,24.1,1300,0.35,0.35,0.35
,,,,,,,,,,,,,,,,,,,
