Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.19,64.46,4.09,1.58,0.3,21.98,1.4,91.52,2.37,1.27,48.91,26.16,6.83,12.45,26.11,27.19,1390,0.39,0.41,0.35
,,,,,,,,,,,,,,,,,,,
5.01,64.39,4.07,1.58,0.32,21.76,1.68,92.53,2.4,1.23,50.4,24.41,6.39,12.39,25.17,26.63,1350,0.38,0.4,0.35
,,,,,,,,,,,,,,,,,,,
5.03,64.4,4.02,1.6,0.28,22.06,1.12,91.46,2.44,1.25,50.37,25.29,6.53,12.23,25.29,26.56,1400,0.43,0.42,0.35
,,,,,,,,,,,,,,,,,,,
5.01,64.08,3.97,1.59,0.33,21.97,1.32,91.4,2.45,1.26,49.15,25.95,6.56,12.08,25.2,26.43,1400,0.43,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.07,64.31,4.12,1.61,0.44,22.05,1.68,91.22,2.4,1.23,47.39,27.51,6.46,12.54,25.47,27.07,1360,0.44,0.42,0.35
,,,,,,,,,,,,,,,,,,,
5.16,64.04,4.03,1.6,0.34,22.05,1.52,90.77,2.4,1.28,46.47,28.2,6.86,12.26,25.97,27.03,1400,0.37,0.43,0.38
,,,,,,,,,,,,,,,,,,,
5.14,64.97,4.01,1.54,0.27,21.3,2.74,94.97,2.33,1.28,51.15,22.52,6.84,12.2,25.87,26.8,1280,0.4,0.38,0.33
,,,,,,,,,,,,,,,,,,,
5.22,64.65,4.07,1.58,0.36,21.06,2.8,95.25,2.27,1.28,50.81,22.09,6.95,12.39,26.28,27.29,1250,0.41,0.4,0.34
,,,,,,,,,,,,,,,,,,,
5.12,64.78,4.04,1.61,0.51,21.07,2.94,95.59,2.3,1.27,51.4,21.67,6.73,12.29,25.76,27.11,1230,0.44,0.45,0.34
,,,,,,,,,,,,,,,,,,,
5.08,64.54,4.01,1.64,0.38,21.14,2.52,95.06,2.33,1.27,51.92,21.49,6.68,12.2,25.56,26.83,1290,0.48,0.44,0.35
,,,,,,,,,,,,,,,,,,,
5.13,64.15,4.04,1.65,0.43,21.25,2.66,93.95,2.32,1.27,48.54,24.34,6.76,12.29,25.81,27.1,1240,0.47,0.44,0.35
,,,,,,,,,,,,,,,,,,,
5,64.37,3.97,1.63,0.35,21.66,1.68,92.98,2.41,1.26,51.28,23.45,6.53,12.08,25.15,26.46,1370,0.42,0.42,0.35
,,,,,,,,,,,,,,,,,,,
4.84,63.42,4.01,1.56,0.36,20.6,2.38,95.95,2.33,1.21,53.64,18.63,6.04,12.2,24.28,26.02,1380,0.36,0.39,0.35
,,,,,,,,,,,,,,,,,,,
5.22,64.08,3.99,1.63,0.36,21.7,1.86,92.05,2.36,1.31,47.56,26.37,7.08,12.14,26.31,27.17,1370,0.41,0.44,0.36
,,,,,,,,,,,,,,,,,,,
5.26,64.26,4.01,1.67,0.41,21.33,2.56,93.62,2.3,1.31,47.96,25.01,7.15,12.2,26.51,27.42,1290,0.44,0.45,0.36
,,,,,,,,,,,,,,,,,,,
5.17,64.31,4.04,1.65,0.29,21.67,1.76,92.52,2.35,1.28,49.4,24.9,6.86,12.29,26.02,27.08,1340,0.4,0.43,0.36
,,,,,,,,,,,,,,,,,,,
5.26,64.47,4.09,1.66,0.28,21.79,1.68,92.12,2.33,1.29,48.79,25.71,7.02,12.45,26.48,27.46,1380,0.37,0.43,0.37
,,,,,,,,,,,,,,,,,,,
4.89,64.38,4.02,1.59,0.21,20.94,1.86,95.93,2.35,1.22,56.73,17.28,6.16,12.23,24.55,26.07,1390,0.37,0.43,0.38
,,,,,,,,,,,,,,,,,,,
