Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
5.29,66.21,4.39,1.62,0.18,21.3,1.82,96.18,2.2,1.21,58.39,17.06,6.59,13.36,26.54,28.06,1420,0.29,0.3,0.36
,,,,,,,,,,,,,,,,,,,
5.26,66.1,4.39,1.6,0.37,20.68,2.94,98.55,2.14,1.2,58.3,15.35,6.51,13.36,26.38,28.15,1220,0.36,0.31,0.36
,,,,,,,,,,,,,,,,,,,
5.32,66.38,4.37,1.61,0.2,20.9,2.24,97.99,2.16,1.22,60.24,14.52,6.7,13.3,26.71,28.12,1330,0.35,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.34,66.92,4.36,1.59,0.22,21.16,3.08,97.71,2.18,1.22,56.93,17.77,6.77,13.27,26.82,28.16,1380,0.28,0.28,0.36
,,,,,,,,,,,,,,,,,,,
5.34,66.41,4.42,1.59,0.49,20.97,2.18,97.67,2.15,1.21,59.87,15,6.67,13.45,26.79,28.56,1340,0.33,0.33,0.36
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.27,66.18,4.32,1.62,0.57,20.91,1.9,97.78,2.18,1.22,61.14,13.87,6.66,13.15,26.46,28.24,1400,0.37,0.35,0.35
,,,,,,,,,,,,,,,,,,,
5.59,65.62,4.34,1.62,0.56,21.26,2.24,95.02,2.14,1.29,52.64,21.28,7.47,13.21,28.15,29.22,1330,0.38,0.35,0.36
5.54,66.06,4.38,1.63,0.37,20.91,2.68,97.09,2.11,1.26,55.58,18.06,7.27,13.33,27.87,28.98,1310,0.39,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.63,65.74,4.43,1.62,0.32,21.19,2.13,95.32,2.11,1.27,53.71,20.27,7.42,13.48,28.33,29.29,1330,0.37,0.32,0.37
,,,,,,,,,,,,,,,,,,,
5.59,66.29,4.45,1.64,0.42,20.8,2.91,97.71,2.07,1.26,55.98,17.44,7.28,13.54,28.11,29.34,1260,0.36,0.31,0.37
,,,,,,,,,,,,,,,,,,,
5.43,66.25,4.43,1.6,0.36,21,2.32,97.15,2.13,1.23,57.8,16.64,6.89,13.48,27.27,28.72,1380,0.33,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.36,66.58,4.39,1.59,0.23,20.7,2.38,99.01,2.12,1.22,61.71,12.84,6.78,13.36,26.91,28.29,1370,0.32,0.3,0.35
,,,,,,,,,,,,,,,,,,,
5.36,66.08,4.39,1.59,0.28,20.68,2.32,98.35,2.12,1.22,60.07,14.02,6.78,13.36,26.91,28.34,1360,0.36,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.42,65.88,4.44,1.58,0.39,20.47,2.13,98.76,2.08,1.22,61.15,12.6,6.85,13.51,27.21,28.73,1270,0.35,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.3,65.3,4.35,1.57,0.3,20.7,1.51,97.25,2.15,1.22,60.5,13.75,6.68,13.24,26.61,28.08,1320,0.37,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.27,65.68,4.36,1.56,0.48,20.35,2.8,99.31,2.11,1.21,59.65,13.39,6.59,13.27,26.44,28.18,1320,0.36,0.35,0.35
,,,,,,,,,,,,,,,,,,,
5.62,64.89,4.42,1.64,0.47,21.16,1.74,94.23,2.11,1.27,52.15,21.37,7.41,13.45,28.28,29.41,1280,0.34,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.3,65.36,4.37,1.57,0.36,21.09,2.24,95.76,2.18,1.21,54.78,19.18,6.65,13.3,26.6,28.18,1260,0.36,0.3,0.36
,,,,,,,,,,,,,,,,,,,
5.35,65.21,4.35,1.6,0.41,21.4,2.52,94.28,2.21,1.23,50.37,23.4,6.82,13.24,26.87,28.36,1230,0.37,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.38,65.28,4.37,1.6,0.37,21.03,2.38,95.75,2.16,1.23,53.8,19.75,6.86,13.3,27.02,28.46,1240,0.36,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.35,65.43,4.33,1.57,0.3,21.17,2.24,95.5,2.19,1.24,54.18,19.86,6.85,13.18,26.88,28.18,1280,0.35,0.3,0.35
,,,,,,,,,,,,,,,,,,,
5.28,65.59,4.38,1.6,0.34,20.99,2.4,96.52,2.17,1.21,55.95,18.02,6.58,13.33,26.49,28.15,1240,0.32,0.29,0.36
,,,,,,,,,,,,,,,,,,,
5.31,65.71,4.39,1.6,0.43,20.7,2.4,97.8,2.13,1.21,58.42,15.32,6.64,13.36,26.65,28.35,1210,0.35,0.29,0.35
,,,,,,,,,,,,,,,,,,,
5.29,65.4,4.39,1.59,0.37,20.91,3.08,96.53,2.16,1.21,52.93,20.06,6.59,13.36,26.54,28.22,1210,0.34,0.29,0.35
,,,,,,,,,,,,,,,,,,,
5.21,65.17,4.32,1.57,0.36,21.53,2.24,93.98,2.26,1.21,51.34,23.04,6.5,13.15,26.14,27.8,1290,0.32,0.29,0.35
,,,,,,,,,,,,,,,,,,,
5.23,64.95,4.35,1.56,0.38,21.42,1.96,94.02,2.24,1.2,52.24,22.04,6.5,13.24,26.24,27.94,1330,0.35,0.3,0.35
,,,,,,,,,,,,,,,,,,,
5.3,65.36,4.31,1.57,0.43,21.38,2.13,94.69,2.22,1.23,53.11,21.27,6.75,13.12,26.62,28.12,1320,0.36,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.33,65.56,4.37,1.57,0.49,21.09,2.32,96,2.17,1.22,55.07,18.96,6.73,13.3,26.76,28.4,1320,0.33,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.33,65.27,4.42,1.55,0.37,21.67,1.9,93.32,2.22,1.21,51.12,23.61,6.65,13.45,26.74,28.37,1350,0.33,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.33,65.64,4.38,1.54,0.45,21.12,1.96,95.99,2.18,1.22,56.62,17.88,6.71,13.33,26.76,28.35,1340,0.33,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.43,65.58,4.38,1.58,0.41,21.66,1.68,93.67,2.21,1.24,52.74,22.36,6.98,13.33,27.29,28.64,1320,0.35,0.33,0.36
5.3,65.17,4.32,1.55,0.35,21.78,1.4,92.9,2.26,1.23,52.25,23.07,6.74,13.15,26.62,28.04,1340,0.37,0.31,0.36
,,,,,,,,,,,,,,,,,,,
5.31,64.98,4.36,1.56,0.32,21.75,1.26,92.69,2.25,1.22,52.15,23.06,6.69,13.27,26.66,28.14,1350,0.36,0.31,0.36
,,,,,,,,,,,,,,,,,,,
5.27,64.95,4.33,1.57,0.37,21.87,1.24,92.29,2.28,1.22,51.51,23.88,6.64,13.18,26.45,28.01,1360,0.37,0.3,0.36
,,,,,,,,,,,,,,,,,,,
5.27,64.78,4.32,1.56,0.41,21.81,0.84,92.28,2.27,1.22,52.92,22.65,6.66,13.15,26.46,28.02,1380,0.39,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.39,65.16,4.3,1.58,0.39,21.47,2.24,93.92,2.22,1.25,50.57,23.44,7.01,13.08,27.1,28.33,1280,0.35,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.3,65.54,4.32,1.55,0.35,21.06,2.46,96.19,2.19,1.23,54.92,18.99,6.74,13.15,26.62,28.04,1270,0.33,0.3,0.36
,,,,,,,,,,,,,,,,,,,
5.33,65.89,4.34,1.56,0.36,20.6,2.99,98.49,2.13,1.23,57.45,15.76,6.78,13.21,26.77,28.19,1200,0.34,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.28,65.97,4.33,1.53,0.46,20.77,2.52,98.01,2.16,1.22,58.75,15.27,6.67,13.18,26.51,28.09,1310,0.33,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.52,65.43,4.41,1.57,0.48,20.94,2.02,96.05,2.11,1.25,55.57,18.16,7.17,13.42,27.75,29.04,1340,0.35,0.32,0.35
,,,,,,,,,,,,,,,,,,,
