Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.06,64.34,3.87,1.64,0.36,20.69,2.8,96.72,2.32,1.31,53.72,18.84,6.86,11.78,25.5,26.44,1250,0.34,0.36,0.35
4.88,64.6,3.83,1.66,0.38,20.53,3.51,98.13,2.36,1.27,54.37,17.89,6.45,11.65,24.56,25.86,1210,0.33,0.36,0.34
,,,,,,,,,,,,,,,,,,,
4.8,64.23,3.84,1.69,0.36,20.93,2.52,96.07,2.42,1.25,54.37,19.03,6.22,11.69,24.13,25.66,1280,0.36,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.81,64.01,3.81,1.69,0.33,21.31,2.24,94.25,2.47,1.26,51.71,22.13,6.3,11.59,24.19,25.59,1300,0.34,0.36,0.35
,,,,,,,,,,,,,,,,,,,
4.74,64,3.78,1.68,0.34,21.54,1.96,93.49,2.53,1.25,51.57,22.89,6.17,11.5,23.83,25.32,1310,0.33,0.37,0.36
,,,,,,,,,,,,,,,,,,,
4.79,63.79,3.81,1.67,0.35,21.38,1.86,93.69,2.49,1.26,51.96,22.14,6.25,11.59,24.09,25.53,1330,0.35,0.37,0.36
,,,,,,,,,,,,,,,,,,,
4.92,63.53,3.81,1.69,0.33,21.56,1.68,92.41,2.47,1.29,49.39,24.59,6.59,11.59,24.78,25.92,1330,0.39,0.37,0.36
,,,,,,,,,,,,,,,,,,,
5.19,63.37,3.89,1.71,0.4,21.62,1.84,91.45,2.38,1.33,45.7,27.55,7.17,11.84,26.18,26.98,1250,0.37,0.37,0.37
,,,,,,,,,,,,,,,,,,,
5.11,63.53,3.93,1.68,0.38,21.62,1.72,91.78,2.39,1.3,47.32,26.32,6.89,11.96,25.74,26.78,1290,0.3,0.35,0.37
,,,,,,,,,,,,,,,,,,,
4.82,63.91,3.94,1.69,0.36,21.12,2.24,94.71,2.41,1.22,52.49,21,6.11,11.99,24.2,25.94,1280,0.37,0.36,0.36
,,,,,,,,,,,,,,,,,,,
4.84,64.29,3.87,1.71,0.31,20.81,2.52,96.54,2.39,1.25,55.22,18.05,6.28,11.78,24.33,25.81,1290,0.33,0.35,0.36
,,,,,,,,,,,,,,,,,,,
4.82,63.77,3.86,1.7,0.57,20.77,2.38,95.97,2.39,1.25,54.12,18.76,6.24,11.75,24.23,25.98,1290,0.4,0.39,0.36
,,,,,,,,,,,,,,,,,,,
5.06,63.64,3.93,1.69,0.37,21.56,1.68,92.24,2.4,1.29,48.73,25.09,6.76,11.96,25.48,26.63,1310,0.35,0.37,0.37
,,,,,,,,,,,,,,,,,,,
4.84,64.07,3.86,1.7,0.37,21.24,1.82,94.51,2.44,1.25,53.92,20.26,6.29,11.75,24.34,25.84,1320,0.36,0.37,0.36
,,,,,,,,,,,,,,,,,,,
4.89,63.95,3.88,1.69,0.28,21.31,1.74,93.96,2.43,1.26,52.86,21.26,6.39,11.81,24.59,25.93,1310,0.37,0.37,0.36
,,,,,,,,,,,,,,,,,,,
4.88,64.28,3.83,1.72,0.18,21.3,1.66,94.55,2.45,1.27,54.74,19.81,6.45,11.65,24.56,25.72,1320,0.35,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.85,64.2,3.85,1.69,0.2,21.04,1.86,95.49,2.42,1.26,55.75,18.31,6.34,11.72,24.39,25.67,1290,0.34,0.34,0.35
,,,,,,,,,,,,,,,,,,,
4.77,64.05,3.79,1.67,0.21,21.37,1.7,94.16,2.5,1.26,53.91,20.64,6.23,11.53,23.99,25.29,1300,0.33,0.33,0.35
,,,,,,,,,,,,,,,,,,,
4.83,64.02,3.83,1.7,0.3,21.14,1.88,94.88,2.44,1.26,54.34,19.66,6.32,11.65,24.29,25.67,1290,0.33,0.33,0.34
,,,,,,,,,,,,,,,,,,,
4.68,63.79,3.69,1.65,0.39,21.2,1.62,94.68,2.53,1.27,55.21,19.17,6.16,11.23,23.55,24.96,1320,0.37,0.35,0.34
,,,,,,,,,,,,,,,,,,,
4.72,63.81,3.91,1.58,0.37,21.75,1.76,92.34,2.52,1.21,49.96,24.71,5.89,11.9,23.68,25.48,1300,0.32,0.31,0.35
