Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.97,64.99,3.64,1.61,0.37,22.46,1.26,91.26,2.61,1.37,50.11,26.63,7.01,11.08,25.1,25.65,1250,0.32,0.39,0.33
,,,,,,,,,,,,,,,,,,,
5,64.67,3.62,1.6,0.3,22.7,1.06,89.93,2.63,1.38,47.62,29.19,7.12,11.02,25.27,25.61,1300,0.32,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.91,65.25,3.59,1.59,0.25,22.35,1.52,92.15,2.63,1.37,51.42,25.33,6.94,10.92,24.8,25.22,1340,0.3,0.36,0.33
,,,,,,,,,,,,,,,,,,,
4.97,65.06,3.59,1.59,0.2,22.35,1.79,91.79,2.61,1.38,49.15,27.04,7.1,10.92,25.12,25.35,1250,0.3,0.36,0.33
,,,,,,,,,,,,,,,,,,,
4.78,65.28,3.51,1.59,0.41,22.15,2.24,93.21,2.67,1.36,51.12,24.98,6.73,10.68,24.14,24.82,1260,0.32,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.78,65.43,3.53,1.59,0.27,22.28,2.02,92.92,2.68,1.35,51.61,24.99,6.69,10.74,24.13,24.73,1290,0.28,0.36,0.32
,,,,,,,,,,,,,,,,,,,
4.97,65.24,3.63,1.62,0.34,22.18,1.96,92.63,2.58,1.37,50.42,25.59,7.03,11.05,25.1,25.61,1250,0.32,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.92,65.28,3.62,1.62,0.34,21.88,2.24,93.9,2.56,1.36,52.07,23.49,6.91,11.02,24.84,25.44,1230,0.34,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.96,65.03,3.63,1.64,0.25,22.16,1.82,92.43,2.58,1.37,50.36,25.59,7,11.05,25.05,25.51,1250,0.39,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.94,65.73,3.65,1.61,0.32,21.27,2.8,96.87,2.48,1.35,56.09,18.71,6.92,11.11,24.94,25.53,1240,0.36,0.38,0.32
,,,,,,,,,,,,,,,,,,,
4.97,65.62,3.67,1.56,0.38,21.39,2.86,96.16,2.48,1.35,54.25,20.44,6.96,11.17,25.09,25.68,1180,0.36,0.39,0.36
,,,,,,,,,,,,,,,,,,,
4.92,65.58,3.65,1.57,0.38,21.77,2.75,94.72,2.54,1.35,52.01,23.22,6.86,11.11,24.83,25.49,1160,0.32,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.92,65.21,3.63,1.57,0.32,22.08,1.9,93.04,2.58,1.36,51.64,24.39,6.9,11.05,24.84,25.39,1270,0.33,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.95,64.86,3.69,1.63,0.29,22.08,1.82,92.44,2.56,1.34,50.25,25.43,6.87,11.23,24.98,25.64,1200,0.4,0.41,0.33
,,,,,,,,,,,,,,,,,,,
5.13,64.68,3.76,1.63,0.32,22.52,1.48,90.26,2.53,1.36,46.25,29.71,7.23,11.44,25.91,26.36,1280,0.35,0.41,0.34
,,,,,,,,,,,,,,,,,,,
5.06,64.43,3.65,1.62,0.48,22.37,1.34,90.64,2.57,1.39,47.57,28.29,7.23,11.11,25.57,26.06,1290,0.36,0.41,0.33
,,,,,,,,,,,,,,,,,,,
4.95,65.18,3.53,1.63,0.44,22.29,1.79,92.26,2.63,1.4,50.31,25.99,7.14,10.74,25.03,25.44,1300,0.37,0.4,0.33
,,,,,,,,,,,,,,,,,,,
4.78,65.57,3.52,1.64,0.27,22.09,1.96,93.84,2.66,1.36,53.88,22.73,6.71,10.71,24.13,24.76,1290,0.36,0.38,0.32
,,,,,,,,,,,,,,,,,,,
4.78,65.25,3.57,1.64,0.36,22.02,1.82,93.6,2.64,1.34,53.61,22.73,6.63,10.86,24.12,24.96,1290,0.34,0.38,0.32
,,,,,,,,,,,,,,,,,,,
4.8,65.18,3.6,1.63,0.22,22.23,1.74,92.66,2.65,1.33,51.88,24.64,6.63,10.95,24.21,24.93,1280,0.3,0.37,0.32
,,,,,,,,,,,,,,,,,,,
4.74,65.49,3.52,1.64,0.23,22.47,1.68,92.38,2.72,1.35,52.08,25.18,6.61,10.71,23.92,24.6,1300,0.27,0.35,0.32
,,,,,,,,,,,,,,,,,,,
4.79,66.15,3.55,1.61,0.26,21.71,2.52,96.09,2.6,1.35,56.74,19.48,6.69,10.8,24.18,24.81,1310,0.28,0.34,0.32
,,,,,,,,,,,,,,,,,,,
4.82,65.46,3.62,1.56,0.43,21.63,2.68,95.28,2.56,1.33,53.59,21.63,6.65,11.02,24.31,25.17,1260,0.31,0.4,0.32
,,,,,,,,,,,,,,,,,,,
4.85,64.99,3.61,1.61,0.36,22.36,1.85,91.83,2.64,1.34,49.32,26.94,6.74,10.99,24.47,25.22,1300,0.26,0.37,0.32
,,,,,,,,,,,,,,,,,,,
4.74,64.09,3.67,1.57,0.36,21.75,1.73,92.92,2.59,1.29,51.43,23.6,6.35,11.17,23.87,24.99,1310,0.33,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.98,64.92,3.72,1.66,0.25,22.59,1.4,90.61,2.6,1.34,48.09,28.53,6.9,11.32,25.13,25.79,1310,0.26,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.75,64.63,3.6,1.58,0.44,21.93,1.48,93.07,2.63,1.32,53.31,22.7,6.5,10.95,23.95,24.95,1320,0.28,0.43,0.33
,,,,,,,,,,,,,,,,,,,
4.8,64.98,3.55,1.61,0.48,21.86,2.04,93.8,2.62,1.35,52.73,22.94,6.71,10.8,24.23,25.06,1240,0.4,0.42,0.32
,,,,,,,,,,,,,,,,,,,
4.8,65.81,3.44,1.52,0.31,22.47,2.48,92.81,2.73,1.4,49.83,26.87,6.9,10.47,24.27,24.56,1240,0.32,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.63,65.33,3.25,1.4,0.26,22.99,2.04,90.69,2.92,1.42,47.13,30.4,6.77,9.89,23.43,23.47,1270,0.32,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.81,64.97,3.36,1.39,0.3,22.79,1.18,90.53,2.79,1.43,49.32,28.17,7.06,10.22,24.35,24.27,1240,0.39,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.69,65.42,3.62,1.35,0.31,22.58,1.35,91.88,2.72,1.3,52.49,25.18,6.3,11.02,23.62,24.46,1260,0.34,0.27,0.33
,,,,,,,,,,,,,,,,,,,
4.74,65.19,3.54,1.35,0.33,22.46,1.6,91.98,2.71,1.34,51.23,25.79,6.57,10.77,23.91,24.45,1240,0.42,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.84,64.91,3.62,1.34,0.28,22.58,1.46,90.93,2.67,1.34,48.96,27.84,6.7,11.02,24.42,24.86,1290,0.4,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.93,66.58,3.6,1.36,0.29,21.5,2.04,97.26,2.52,1.37,61.03,15.64,6.97,10.95,24.9,25.11,1300,0.38,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.74,66.05,3.57,1.4,0.45,21.62,2.24,96.36,2.6,1.33,58.47,17.92,6.52,10.86,23.9,24.69,1290,0.4,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.88,65.43,3.88,1.39,0.28,22.21,2.68,92.72,2.54,1.26,48.28,27.29,6.37,11.81,24.54,25.6,1290,0.37,0.29,0.34
,,,,,,,,,,,,,,,,,,,
4.83,64.66,3.73,1.35,0.22,22.67,1.48,90.19,2.65,1.29,47.09,29.51,6.49,11.35,24.33,25.02,1320,0.37,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.78,64.98,3.62,1.34,0.31,22.91,1.12,89.95,2.73,1.32,48.52,29.12,6.54,11.02,24.1,24.72,1340,0.32,0.28,0.33
,,,,,,,,,,,,,,,,,,,
4.7,63.92,3.62,1.34,0.84,22.63,1.82,89.58,2.72,1.3,44.02,31.71,6.33,11.02,23.68,25.01,1240,0.59,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.69,64.58,3.61,1.33,0.4,22.53,1.4,90.88,2.71,1.3,49.26,27.47,6.32,10.99,23.63,24.51,1280,0.39,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.65,64.8,3.61,1.32,0.39,22.41,1.68,91.69,2.71,1.29,50.2,26.42,6.21,10.99,23.41,24.37,1260,0.44,0.31,0.32
,,,,,,,,,,,,,,,,,,,
4.5,65.44,3.38,1.32,0.33,22.6,1.96,92.33,2.87,1.33,51.56,25.94,6.21,10.29,22.7,23.36,1230,0.38,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.51,65.17,3.53,1.31,0.41,22.71,1.68,91.41,2.82,1.28,50.48,27.07,5.98,10.74,22.7,23.79,1270,0.39,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.8,64.62,3.77,1.32,0.31,22.44,1.12,90.96,2.62,1.27,50.28,26.45,6.34,11.47,24.15,25.08,1270,0.42,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.65,65.95,3.61,1.3,0.37,21.76,2.94,95.78,2.63,1.29,54.69,21.17,6.21,10.99,23.41,24.33,1310,0.36,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.81,65.7,3.71,1.33,0.27,22.04,3.02,94,2.59,1.3,50,25.51,6.47,11.29,24.23,24.95,1270,0.36,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.72,65.21,3.72,1.34,0.25,22.29,1.68,92.5,2.64,1.27,52.15,24.6,6.21,11.32,23.75,24.7,1290,0.35,0.27,0.32
,,,,,,,,,,,,,,,,,,,
4.7,65.23,3.69,1.34,0.31,22.33,1.72,92.44,2.66,1.27,51.95,24.88,6.21,11.23,23.65,24.63,1270,0.39,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.64,65.16,3.7,1.44,0.24,22.46,1.92,91.95,2.69,1.25,50.25,26.53,6.04,11.26,23.33,24.51,1250,0.38,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.76,64.6,3.73,1.34,0.31,22.58,1.4,90.53,2.66,1.28,48.32,28.32,6.3,11.35,23.96,24.9,1300,0.43,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.7,65.01,3.71,1.33,0.37,22.48,1.68,91.57,2.67,1.27,50.04,26.74,6.18,11.29,23.64,24.73,1290,0.41,0.29,0.33
,,,,,,,,,,,,,,,,,,,
4.74,65.18,3.71,1.35,0.26,22.43,1.82,91.93,2.65,1.28,50.28,26.42,6.28,11.29,23.86,24.76,1250,0.43,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.65,65.09,3.62,1.34,0.37,22.43,1.74,92.02,2.71,1.28,50.97,25.9,6.2,11.02,23.41,24.39,1260,0.44,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.68,65.07,3.61,1.33,0.24,22.43,1.9,91.95,2.71,1.3,50.05,26.59,6.29,10.99,23.57,24.32,1250,0.4,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.5,65.19,3.51,1.37,0.43,22.28,2.32,93.04,2.78,1.28,51.32,25.2,5.99,10.68,22.65,23.8,1270,0.47,0.29,0.31
4.45,65.5,3.54,1.35,0.38,22.17,2.68,93.95,2.77,1.26,52.25,24.19,5.8,10.77,22.38,23.65,1250,0.38,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.68,65.78,3.68,1.35,0.31,21.72,2.88,95.58,2.6,1.27,54.25,21.39,6.18,11.2,23.55,24.56,1260,0.38,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.68,66.21,3.65,1.34,0.38,21.36,3.36,97.66,2.56,1.28,56.82,18.42,6.23,11.11,23.56,24.56,1220,0.4,0.28,0.31
,,,,,,,,,,,,,,,,,,,
4.74,65.53,3.71,1.35,0.28,22.01,2.52,93.98,2.6,1.28,52.05,23.88,6.28,11.29,23.86,24.78,1230,0.35,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.76,65.44,3.74,1.36,0.27,22.2,1.74,93.08,2.61,1.27,53.23,23.53,6.29,11.38,23.95,24.9,1300,0.37,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.61,65.39,3.54,1.35,0.3,21.96,2.66,94.33,2.69,1.3,52.4,23.47,6.23,10.77,23.23,24.04,1250,0.44,0.31,0.31
,,,,,,,,,,,,,,,,,,,
4.69,65.49,3.76,1.44,0.17,22.6,1.54,91.78,2.67,1.25,51.65,25.87,6.07,11.44,23.57,24.72,1310,0.29,0.29,0.32
,,,,,,,,,,,,,,,,,,,
4.6,65.01,3.65,1.47,0.26,22.41,1.91,92.03,2.72,1.26,50.4,26.27,6.01,11.11,23.14,24.33,1350,0.34,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.61,65.4,3.63,1.51,0.3,22.24,2.41,93.21,2.7,1.27,51.2,25.18,6.07,11.05,23.2,24.4,1290,0.39,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.68,64.96,3.69,1.5,0.33,22.44,1.54,91.69,2.68,1.27,50.88,26,6.16,11.23,23.55,24.75,1320,0.38,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.61,64.09,3.69,1.5,0.4,22.82,1.12,89.23,2.75,1.25,46.63,30.29,5.97,11.23,23.17,24.62,1300,0.44,0.39,0.31
,,,,,,,,,,,,,,,,,,,
4.49,63.46,3.78,1.48,0.41,22.14,1.12,90.87,2.68,1.19,49.91,25.87,5.5,11.5,22.51,24.45,1310,0.37,0.41,0.31
4.65,64.97,3.68,1.44,0.27,22.35,1.24,92.09,2.68,1.26,53.04,24.11,6.1,11.2,23.39,24.52,1370,0.38,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.18,3.76,1.46,0.25,22.19,1.36,92.83,2.62,1.25,54.17,22.8,6.09,11.44,23.63,24.85,1360,0.38,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.57,65.35,3.65,1.48,0.37,22.05,1.74,93.9,2.68,1.25,55.41,21.46,5.93,11.11,22.98,24.36,1330,0.34,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.58,65.15,3.66,1.5,0.26,22.39,1.68,92.32,2.72,1.25,52.18,24.87,5.94,11.14,23.03,24.32,1320,0.36,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.45,64.92,3.61,1.49,0.48,22.47,1.4,91.95,2.79,1.23,52.72,24.7,5.68,10.99,22.35,24.04,1350,0.32,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.65,64.8,3.75,1.48,0.49,22.36,1.26,91.75,2.66,1.24,52.09,24.85,5.98,11.41,23.37,24.94,1360,0.35,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.55,64.6,3.71,1.49,0.58,22.39,1.35,91.55,2.71,1.23,51.41,25.45,5.78,11.29,22.85,24.65,1330,0.38,0.4,0.31
,,,,,,,,,,,,,,,,,,,
4.65,64.2,3.77,1.49,0.6,22.59,0.95,90.06,2.68,1.23,49.13,27.74,5.94,11.47,23.36,25.1,1310,0.38,0.41,0.32
,,,,,,,,,,,,,,,,,,,
