Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.07,64.68,4.06,1.59,0.33,21.38,2.13,94.3,2.34,1.25,52.24,21.93,6.57,12.35,25.49,26.81,1300,0.28,0.28,0.36
,,,,,,,,,,,,,,,,,,,
4.71,64.28,4.27,1.47,0.33,22.24,1.96,90.92,2.48,1.1,46.89,28.43,5.26,12.99,23.51,26.09,1270,0.28,0.25,0.34
,,,,,,,,,,,,,,,,,,,
4.55,64.3,4.15,1.35,0.48,22.54,1.84,90.22,2.59,1.1,46.42,29.64,5.04,12.63,22.7,25.38,1250,0.27,0.24,0.33
,,,,,,,,,,,,,,,,,,,
4.59,63.91,4.05,1.34,0.47,23.08,1.64,87.83,2.67,1.13,41.42,34.96,5.31,12.32,22.95,25.26,1260,0.29,0.23,0.33
,,,,,,,,,,,,,,,,,,,
4.54,64.21,4.37,1.34,0.39,22.58,1.72,89.79,2.53,1.04,45.99,30.08,4.64,13.3,22.57,25.74,1250,0.29,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.49,64.34,4.68,1.29,0.47,22.14,1.56,91.36,2.41,0.96,50.41,25.49,3.98,14.24,22.2,26.3,1280,0.29,0.22,0.32
4.99,64.93,4.23,1.49,0.52,20.92,3.47,96.46,2.27,1.18,51.6,21.09,6.07,12.87,25,27.04,1260,0.3,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.07,65.17,4.14,1.54,0.17,21.36,2.4,95.02,2.32,1.22,53.18,21.16,6.43,12.6,25.46,26.77,1330,0.22,0.26,0.34
,,,,,,,,,,,,,,,,,,,
4.91,64.84,4.15,1.55,0.35,21.53,2.24,94.14,2.38,1.18,52.25,22.35,5.99,12.63,24.61,26.51,1310,0.29,0.31,0.34
,,,,,,,,,,,,,,,,,,,
4.66,64.46,4.6,1.39,0.35,21.67,1.96,93.07,2.34,1.01,51.82,23.08,4.57,14,23.13,26.61,1310,0.31,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.38,64.29,5.62,1.3,0.35,21.56,1.88,92.8,2.16,0.78,52.71,22.09,2.1,17.1,21.3,27.94,1300,0.3,0.25,0.31
,,,,,,,,,,,,,,,,,,,
4.3,63.98,5.69,1.28,0.46,21.91,1.73,91.13,2.19,0.76,49.84,25.26,1.77,17.31,20.85,27.94,1300,0.3,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.33,64.03,5.55,1.25,0.34,22.03,1.68,90.84,2.23,0.78,49.33,25.99,2.08,16.89,21.06,27.57,1260,0.29,0.21,0.31
,,,,,,,,,,,,,,,,,,,
4.34,63.64,5.35,1.25,0.23,22.71,1.36,88.05,2.34,0.81,44.09,31.89,2.45,16.28,21.18,27.05,1270,0.29,0.21,0.3
,,,,,,,,,,,,,,,,,,,
4.27,64.2,5.33,1.23,0.25,22.27,1.72,90.49,2.32,0.8,48.75,27.11,2.3,16.22,20.81,26.8,1240,0.29,0.21,0.3
,,,,,,,,,,,,,,,,,,,
4.19,64.7,5.49,1.23,0.23,21.85,1.84,92.72,2.26,0.76,53.8,22.1,1.81,16.71,20.33,26.9,1250,0.28,0.19,0.3
4.32,64.82,5.44,1.26,0.39,21.16,3.06,95.37,2.17,0.79,53.77,20.15,2.24,16.55,21.04,27.36,1200,0.33,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.16,64.61,5.66,1.22,0.31,21.54,2.86,93.66,2.19,0.73,51.6,22.87,1.45,17.22,20.12,27.25,1210,0.3,0.2,0.29
,,,,,,,,,,,,,,,,,,,
4.12,64.78,5.6,1.23,0.38,21.43,2.94,94.45,2.2,0.74,53.15,21.38,1.44,17.04,19.93,27.08,1200,0.3,0.21,0.3
,,,,,,,,,,,,,,,,,,,
4.21,64.76,5.48,1.29,0.3,21.57,2.34,93.84,2.23,0.77,54.02,21.13,1.88,16.68,20.44,27.07,1230,0.3,0.23,0.3
,,,,,,,,,,,,,,,,,,,
4.25,64.41,5.81,1.25,0.26,21.92,1.4,91.68,2.18,0.73,53.02,22.89,1.43,17.68,20.54,27.83,1290,0.26,0.2,0.3
,,,,,,,,,,,,,,,,,,,
4.12,64.51,5.7,1.23,0.42,21.71,1.62,92.9,2.21,0.72,55.16,20.68,1.27,17.35,19.89,27.34,1300,0.3,0.21,0.29
,,,,,,,,,,,,,,,,,,,
4.09,64.63,5.6,1.22,0.38,21.63,1.74,93.51,2.23,0.73,56.11,19.73,1.36,17.04,19.77,26.99,1250,0.28,0.2,0.29
,,,,,,,,,,,,,,,,,,,
