Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.61,65.28,3.41,1.53,0.21,23.31,1.82,89.4,2.91,1.35,45.3,32.7,6.45,10.38,23.27,23.84,1230,0.31,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.83,64.41,3.46,1.52,0.37,23.24,1.68,88.09,2.8,1.4,41.31,35.51,6.95,10.53,24.42,24.75,1240,0.33,0.35,0.33
,,,,,,,,,,,,,,,,,,,
4.51,65.51,3.49,1.52,0.44,22.73,1.94,91.85,2.84,1.29,50.71,26.95,6.05,10.62,22.71,23.94,1200,0.37,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.46,64.99,3.41,1.52,1,22.29,2.04,92.87,2.83,1.31,51.98,24.73,6.05,10.38,22.48,24.18,1200,0.39,0.42,0.3
,,,,,,,,,,,,,,,,,,,
4.5,65.08,3.58,1.52,0.32,22.9,1.84,90.58,2.83,1.26,48.01,29.47,5.87,10.89,22.63,23.99,1270,0.34,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.52,64.58,3.72,1.5,0.36,23.05,1.48,89.22,2.8,1.22,45.97,31.45,5.68,11.32,22.69,24.38,1310,0.35,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.57,64.99,3.55,1.51,0.39,22.93,1.79,90.27,2.82,1.29,47.2,30.18,6.1,10.8,23.01,24.19,1280,0.34,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.5,65.25,3.55,1.52,0.42,22.77,1.9,91.31,2.83,1.27,49.49,27.99,5.92,10.8,22.64,24.03,1280,0.34,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.54,65.27,3.48,1.55,0.37,22.48,2.24,92.38,2.8,1.3,50.23,26.6,6.14,10.59,22.88,23.97,1270,0.36,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.49,65.31,3.47,1.51,0.41,22.42,2.32,92.74,2.82,1.29,50.87,25.94,6.03,10.56,22.61,23.8,1270,0.35,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.54,65.72,3.48,1.57,0.32,22.67,2.24,92.32,2.83,1.3,50.61,26.85,6.14,10.59,22.88,23.94,1200,0.32,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.57,65.53,3.63,1.52,0.26,22.82,2.1,91.34,2.78,1.26,48.85,28.61,5.97,11.05,22.98,24.25,1330,0.34,0.35,0.31
,,,,,,,,,,,,,,,,,,,
4.62,65.41,3.75,1.51,0.27,23.15,1.26,89.85,2.77,1.23,48.77,29.62,5.9,11.41,23.21,24.66,1250,0.29,0.33,0.32
,,,,,,,,,,,,,,,,,,,
